Year,Month,Prev_Day_High_Broken
2019,3,4
2019,4,10
2019,5,10
2019,6,8
2019,7,12
2019,8,8
2019,9,9
2019,10,15
2019,11,11
2019,12,10
2020,1,9
2020,2,8
2020,3,9
2020,4,11
2020,5,9
2020,6,13
2020,7,11
2020,8,16
2020,9,10
2020,10,15
2020,11,15
2020,12,18
2021,1,13
2021,2,13
2021,3,9
2021,4,11
2021,5,13
2021,6,13
2021,7,11
2021,8,16
2021,9,12
2021,10,11
2021,11,8
2021,12,14
2022,1,13
2022,2,9
2022,3,14
2022,4,9
2022,5,9
2022,6,8
2022,7,12
2022,8,14
2022,9,10
2022,10,10
2022,11,15
2022,12,11
2023,1,9
2023,2,8
2023,3,10
2023,4,14
2023,5,11
2023,6,13
2023,7,14
2023,8,13
2023,9,12
2023,10,9
2023,11,13
2023,12,15
2024,1,13
2024,2,14
2024,3,8
